private_entity,private_label,private_type,wikidata_id,wikidata_uri,confidence,wd_label,wd_description,linking_method,matched_query
http://example.org/qg#real_person_hou_yifan_0754e0,Hou Yifan,http://example.org/qg#RealPerson,Q234011,http://www.wikidata.org/entity/Q234011,0.99,Hou Yifan,Chinese chess player,search,Hou Yifan
http://example.org/qg#real_person_isla_johnston_568f2a,Isla Johnston,http://example.org/qg#RealPerson,Q117121905,http://www.wikidata.org/entity/Q117121905,0.99,Isla Johnston,British actress,search,Isla Johnston
http://example.org/qg#real_person_jacob_fortune_lloyd_e9fd39,Jacob Fortune-Lloyd,http://example.org/qg#RealPerson,Q101237941,http://www.wikidata.org/entity/Q101237941,0.99,Jacob Fortune-Lloyd,British actor,search,Jacob Fortune-Lloyd
http://example.org/qg#real_person_judit_polg_r_233c22,Judit Polgár,http://example.org/qg#RealPerson,Q183250,http://www.wikidata.org/entity/Q183250,0.99,Judit Polgár,Hungarian chess player,search,Judit Polgár
http://example.org/qg#real_person_marielle_heller_80cf4b,Marielle Heller,http://example.org/qg#RealPerson,Q21032133,http://www.wikidata.org/entity/Q21032133,0.99,Marielle Heller,"American director, writer and actress",search,Marielle Heller
http://example.org/qg#real_person_millie_brady_72ac4a,Millie Brady,http://example.org/qg#RealPerson,Q26213643,http://www.wikidata.org/entity/Q26213643,0.99,Millie Brady,British actress,search,Millie Brady
http://example.org/qg#real_person_moses_ingram_017d28,Moses Ingram,http://example.org/qg#RealPerson,Q101528973,http://www.wikidata.org/entity/Q101528973,0.99,Moses Ingram,American actress,search,Moses Ingram
http://example.org/qg#real_person_nona_gaprindashvili_e922d3,Nona Gaprindashvili,http://example.org/qg#RealPerson,Q231630,http://www.wikidata.org/entity/Q231630,0.99,Nona Gaprindashvili,Soviet chess player,search,Nona Gaprindashvili
http://example.org/qg#real_person_paul_morphy_a9d889,Paul Morphy,http://example.org/qg#RealPerson,Q105589,http://www.wikidata.org/entity/Q105589,0.99,Paul Morphy,US chess player (1837–1884),search,Paul Morphy
http://example.org/qg#real_person_scott_frank_6235c6,Scott Frank,http://example.org/qg#RealPerson,Q557208,http://www.wikidata.org/entity/Q557208,1.0,Scott Frank,American screenwriter and director,manual,Scott Frank
http://example.org/qg#real_person_thomas_brodie_sangster_0dde86,Thomas Brodie-Sangster,http://example.org/qg#RealPerson,Q312531,http://www.wikidata.org/entity/Q312531,0.99,Thomas Brodie-Sangster,English actor,search,Thomas Brodie-Sangster
http://example.org/qg#real_person_walter_tevis_2a7a70,Walter Tevis,http://example.org/qg#RealPerson,Q740928,http://www.wikidata.org/entity/Q740928,1.0,Walter Tevis,American writer (1928–1984),manual,Walter Tevis
